did,pear,name
3,0.946507891073472,Haslach
5,0.953141998235623,Littenweiler
8,0.971491518594361,Wiehre
9,0.953114138837517,Betzenhausen
16,0.957368542638555,Mooswald
17,0.942318688741384,Rieselfeld
18,0.969274736287964,Weingarten
24,0.96322713108481,Neuburg
25,0.966024380567217,Herdern
26,0.961907477703306,Zähringen
28,0.96737249971409,Oberau
