id,variable_id,dttm,th,quality_flag_id,device_id
1,1,2020-11-30 00:00:00,-1.0189,1,10350049
1,1,2020-11-30 01:00:00,-1.57,2,10350049
1,1,2020-11-30 02:00:00,-2.3778,2,10350049
1,1,2020-11-30 03:00:00,-2.7075,2,10350049
1,1,2020-11-30 04:00:00,-3.1387,2,10350049
1,1,2020-11-30 05:00:00,-3.1185,2,10350049
1,1,2020-11-30 06:00:00,-3.1583,2,10350049
1,1,2020-11-30 07:00:00,-3.4743,2,10350049
1,1,2020-11-30 08:00:00,-2.3977,2,10350049
1,1,2020-11-30 09:00:00,-1.4943,2,10350049
1,1,2020-11-30 10:00:00,-0.4007,2,10350049
1,1,2020-11-30 11:00:00,0.9657,2,10350049
1,1,2020-11-30 12:00:00,1.872,2,10350049
1,1,2020-11-30 13:00:00,2.1235,2,10350049
1,1,2020-11-30 14:00:00,2.1235,2,10350049
1,1,2020-11-30 15:00:00,1.908,2,10350049
1,1,2020-11-30 16:00:00,0.7435,2,10350049
1,1,2020-11-30 17:00:00,-0.5868,2,10350049
1,1,2020-11-30 18:00:00,-0.9628,2,10350049
1,1,2020-11-30 19:00:00,-1.0575,2,10350049
1,1,2020-11-30 20:00:00,-1.0953,2,10350049
1,1,2020-11-30 21:00:00,-1.3988,2,10350049
1,1,2020-11-30 22:00:00,-1.3605,2,10350049
1,1,2020-11-30 23:00:00,-0.7565,2,10350049
1,1,2020-12-01 00:00:00,-0.0645,2,10350049
1,1,2020-12-01 01:00:00,0.121,2,10350049
1,1,2020-12-01 02:00:00,0.5265,2,10350049
1,1,2020-12-01 03:00:00,1.0755,2,10350049
1,1,2020-12-01 04:00:00,2.0687,2,10350049
1,1,2020-12-01 05:00:00,2.8367,2,10350049
1,1,2020-12-01 06:00:00,1.8343,2,10350049
1,1,2020-12-01 07:00:00,1.0753,2,10350049
1,1,2020-12-01 08:00:00,1.0755,2,10350049
1,1,2020-12-01 09:00:00,1.4027,2,10350049
1,1,2020-12-01 10:00:00,1.908,2,10350049
1,1,2020-12-01 11:00:00,2.1235,2,10350049
1,1,2020-12-01 12:00:00,2.4455,2,10350049
1,1,2020-12-01 13:00:00,3.0135,2,10350049
1,1,2020-12-01 14:00:00,3.3843,2,10350049
1,1,2020-12-01 15:00:00,3.683,2,10350049
1,1,2020-12-01 16:00:00,3.2078,2,10350049
1,1,2020-12-01 17:00:00,2.8368,2,10350049
1,1,2020-12-01 18:00:00,2.73,2,10350049
1,1,2020-12-01 19:00:00,2.7478,2,10350049
1,1,2020-12-01 20:00:00,2.2627,1,10350049
1,1,2020-12-01 21:00:00,2.5883,2,10350049
1,1,2020-12-01 22:00:00,2.5705,2,10350049
1,1,2020-12-01 23:00:00,2.3743,2,10350049
1,1,2020-12-02 00:00:00,1.817,2,10350049
1,1,2020-12-02 01:00:00,1.2028,2,10350049
1,1,2020-12-02 02:00:00,1.4933,2,10350049
1,1,2020-12-02 03:00:00,1.782,2,10350049
